title,division,department,salary
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3932
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3923
Adjunct - Respiratory Therapy,Allied Health,Allied Health,3916
Adjunct,Parks & Natural Resources,Agricultural Science,3890
Adjunct - English Education,Communication/English/Media,Communication/English/Media,3890
Adjunct - Social Sciences,Social Sciences,Social Sciences,3890
LN -Arts/Science Onsite Bus/Ed/Criminal,Linn County Regional Center,Linn County Regional Center,3890
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,3890
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,3890
Adjunct - Legal Assisting,Social Sciences,Social Sciences,3890
Adjunct,Parks & Natural Resources,Agricultural Science,3890
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,3890
Grounds Worker,Facilities & Security,Facilities & Security,3880
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,3880
Adjunct - ESL,International Programs,International Programs,3877
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3869
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3845
Adjunct - Distance Learning,Distance Learning,Distance Learning,3840
Adjunct - Human Services,Social Sciences,Social Sciences,3840
Adjunct - Surgical Tech/Health Science,Allied Health,Allied Health,3840
Adjunct - Graphic Communications,Business and Information Tech,Business and Information Tech,3840
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,3840
WA -Graphics,Washington Center,Washington Center,3840
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,3840
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,3840
JH -Graphics,Iowa City Campus,Iowa City Campus,3840
WA-Arts/Science Onsite Bus/Ed/Criminal,Washington Center,Washington Center,3840
JN - Arts/Science Academy Onsite,Jones County Regional Center,Jones County Regional Center,3840
JN - Graphics,Jones County Regional Center,Jones County Regional Center,3840
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,3840
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,3840
Adjunct - Social Sciences,Social Sciences,Social Sciences,3840
IA -Patient Care,Williamsburg Center,Williamsburg Center,3840
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,3840
Adjunct - Distance Learning,Distance Learning,Distance Learning,3840
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,3840
WA-Arts/Science Onsite Bus/Ed/Criminal,Washington Center,Washington Center,3840
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,3840
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,3840
JN - Arts/Science Academy Onsite,Jones County Regional Center,Jones County Regional Center,3840
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,3840
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,3840
Adjunct - ESL,International Programs,International Programs,3840
Adjunct - Hospitality,Hospitality Arts,Hospitality Arts,3840
JN - Architect/Construction,Jones County Regional Center,Jones County Regional Center,3840
JH -EMT,Iowa City Campus,Iowa City Campus,3840
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,3818
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3816
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3815
Recreation Associate,Dean of Students Office,Dean of Students Office,3812
Office Assistant,Washington Center,Washington Center,3802
Sales Associate-Main Campus,Bookstore,Bookstore,3781
Work Study Learning Services,Learning Services,Learning Services,3774
Adjunct - Marketing Management,Business and Information Tech,Business and Information Tech,3768
Adjunct - Respiratory Therapy,Allied Health,Allied Health,3768
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3765
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3752
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,3738
Grounds Worker,Facilities & Security,Facilities & Security,3735
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3684
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3683
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3675
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3675
Office Clerk,Business and Information Tech,Business and Information Tech,3673
Recreation Associate,Dean of Students Office,Dean of Students Office,3668
Cafe Lead Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3667
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3666
Adjunct - Respiratory Therapy,Allied Health,Allied Health,3656
PT Bell Stand,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3642
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3637
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3635
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3630
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3616
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,3615
Music Producer,KCCK-FM Radio Station,KCCK-FM Radio Station,3613
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,3595
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3581
Pt Cafe Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,3564
Adjunct - Surgical Tech/Health Science,Allied Health,Allied Health,3556
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,3549
Seasonal Bookstore Associate,Bookstore,Bookstore,3538
