title,division,department,salary
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2140
Work Study Agri Science,Agricultural Science,Agricultural Science,2135
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2135
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,2129
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2126
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2120
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2114
Grounds Worker,Facilities & Security,Facilities & Security,2110
Work Study - Athletics,Athletics,Athletics,2108
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2106
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2100
Adjunct - ESL,International Programs,International Programs,2076
Lab Associate,IT Services,IT Services,2075
Temp - Athletics,Athletics,Athletics,2070
IEC Associate,Finance,Finance,2067
IEC Associate,Finance,Finance,2057
IEC Associate,Finance,Finance,2049
Work Study - Athletics,Athletics,Athletics,2048
Work Study Arts & Humanities,Arts/Humanities,Arts/Humanities,2042
Esl Instructor,Secondary Programs,Secondary Programs,2040
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2035
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2031
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2025
ICCAC Staff,ICCAC,ICCAC,2023
PT Guest Service Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2014
Work Study Info Technologies,IT Services,IT Services,2014
TCA Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2010
Tutor,Instruction,Instruction,2005
Ag Associate-Kennel,Agricultural Science,Agricultural Science,1998
Catering Assistant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1993
KICK Camp Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1984
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,1964
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1963
Instructor,Secondary Programs,Secondary Programs,1962
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1950
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1950
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,1937
Recreation Associate,Athletics,Athletics,1928
Work Study - Offc Childcare,Financial Aid,Financial Aid,1926
Temp - Athletics,Athletics,Athletics,1923
Adj -Med Lab Tech Instructor,Allied Health,Allied Health,1920
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,1920
Adjunct - Construction Technology,Industrial Technologies,Industrial Technologies,1920
WA -Patient Care,Washington Center,Washington Center,1920
Adjunct - Math/Science,Math/Science,Math/Science,1920
Workstudy,Financial Aid,Financial Aid,1918
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1900
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1895
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1881
Work Study Ind Technology,Industrial Technologies,Industrial Technologies,1880
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1863
Adjunct - Respiratory Therapy,Allied Health,Allied Health,1854
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1851
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,1850
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1850
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1848
Office Assistant,KCCK-FM Radio Station,KCCK-FM Radio Station,1844
Work Study Agri Science,Agricultural Science,Agricultural Science,1840
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1832
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,1830
Esl Instructor,Secondary Programs,Secondary Programs,1830
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1820
Work Study - Dean of Students Office,Dean of Students Office,Dean of Students Office,1815
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1800
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1800
Communique Staff,Social Sciences,Social Sciences,1773
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1770
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1770
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1765
TCA Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1756
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1743
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1728
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,1720
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1713
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1709
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1708
Work Study - Athletics,Athletics,Athletics,1704
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1701
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,1700
Banquet Captain,The Hotel at Kirkwood Center,The Hotel at Kirkwood Center,1688
Adjunct - Firefighter - Entry Level,Industrial Technologies,Industrial Technologies,1675
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1675
Work Study-Resource Ctr/HS,Secondary Programs,Secondary Programs,1666
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1664
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1653
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1641
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,1638
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,1638
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,1638
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,1625
PT Guest Service Representataive,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1613
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,1603
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1600
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1600
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1599
Recreation Associate,Athletics,Athletics,1597
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1580
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1572
Work Study - Athletics,Athletics,Athletics,1566
PT Store Room Clerk,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1551
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,1548
Work Study Library,Library Services,Library Services,1540
Temp - Athletics,Athletics,Athletics,1530
Sales Associate-Main Campus,Bookstore,Bookstore,1526
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1520
PT Bartender,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1506
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,1496
Grounds Worker,Facilities & Security,Facilities & Security,1492
Office Clerk,Business and Information Tech,Business and Information Tech,1491
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1488
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1478
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1477
Ag Associate-Kennel,Agricultural Science,Agricultural Science,1476
Work Study - Offc Childcare,Financial Aid,Financial Aid,1474
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1471
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1460
Custodian,Iowa City Campus,Iowa City Campus,1452
Test Center Associate,Iowa City Campus,Iowa City Campus,1450
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1450
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1445
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1442
Work Study - Athletics,Athletics,Athletics,1433
ICCAC Staff,ICCAC,ICCAC,1423
Program Assistant,Learning Services,Learning Services,1418
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1415
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1406
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1404
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1403
Public Safety Dispatcher,Facilities,Facilities,1400
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1399
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,1395
Temp - Athletics,Athletics,Athletics,1395
Work Study Agri Science,Agricultural Science,Agricultural Science,1385
Communique Staff,Social Sciences,Social Sciences,1383
Office Clerk,Iowa City Campus,Iowa City Campus,1381
Work Study Library,Library Services,Library Services,1370
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1360
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,1360
Office Clerk,Business and Information Tech,Business and Information Tech,1355
Recreation Associate,Athletics,Athletics,1348
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1345
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,1340
Work Study - Athletics,Athletics,Athletics,1332
Temp Secondary Programs,Secondary Programs,Secondary Programs,1330
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1317
Temp Secondary Programs,Secondary Programs,Secondary Programs,1317
Communique Staff,Social Sciences,Social Sciences,1312
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1308
Orientation Peer Leader,Dean of Students Office,Dean of Students Office,1294
Ag Associate-Kennel,Agricultural Science,Agricultural Science,1291
Banquet Line Cook II,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1287
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,1277
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1275
Farm Technician,Agricultural Science,Agricultural Science,1261
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1260
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1260
Work Study-Iowa City Campus,Iowa City Campus,Iowa City Campus,1256
PT Cafe Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1255
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1252
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,1249
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1248
Office Assistant,Business and Information Tech,Business and Information Tech,1248
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1246
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1235
Work Study Library,Library Services,Library Services,1234
Work Study Library,Library Services,Library Services,1234
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1232
Work Study-Fm Radio Station,KCCK-FM Radio Station,KCCK-FM Radio Station,1223
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,1219
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,1218
Recreation Associate,Athletics,Athletics,1214
Work Study Info Technologies,IT Services,IT Services,1209
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,1208
Library Associate,Iowa City Campus,Iowa City Campus,1205
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1196
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1196
Esl Instructor,Secondary Programs,Secondary Programs,1196
Laundry Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1192
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1188
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1188
Communique Staff,Social Sciences,Social Sciences,1169
ICCAC Staff,ICCAC,ICCAC,1160
Sales Associate-Main Campus,Bookstore,Bookstore,1157
Adjunct - Dental Hygiene,Allied Health,Allied Health,1130
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1128
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1127
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1127
ICCAC Staff,ICCAC,ICCAC,1120
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,1118
Sales Associate-Main Campus,Bookstore,Bookstore,1107
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,1104
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1103
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1100
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,1100
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,1100
Work Study Library,Library Services,Library Services,1095
IEC Associate,Finance,Finance,1087
Office Clerk,International Programs,International Programs,1073
Work Study-International Program,International Programs,International Programs,1066
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1065
Communique Staff,Social Sciences,Social Sciences,1055
Career Services Intern,Dean of Students Office,Dean of Students Office,1053
Work Study - Dean of Students Office,Dean of Students Office,Dean of Students Office,1052
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1050
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1050
Instructor,Secondary Programs,Secondary Programs,1047
Custodian,Iowa City Campus,Iowa City Campus,1042
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1036
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1035
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1033
Work Study - Athletics,Athletics,Athletics,1032
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,1024
Work Study - Athletics,Athletics,Athletics,1020
Work Study-International Program,International Programs,International Programs,1016
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,1002
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,1000
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,1000
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,992
Recreation Associate,Athletics,Athletics,991
Work Study Agri Science,Agricultural Science,Agricultural Science,991
PT Banquet Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,990
Work Study - Athletics,Athletics,Athletics,983
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,969
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,965
Work Study Ind Technology,Industrial Technologies,Industrial Technologies,965
Communique Staff,Social Sciences,Social Sciences,964
Temp - Athletics,Athletics,Athletics,960
Laundry Attendant,The Hotel at Kirkwood Center,The Hotel at Kirkwood Center,954
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,945
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,941
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,938
Temp - Admissions,Admissions,Admissions,930
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,927
Work Study - Athletics,Athletics,Athletics,926
Tutor - Walk-In,Learning Services,Learning Services,923
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,920
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,910
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,900
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,900
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,900
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,900
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,897
Work Study - Athletics,Athletics,Athletics,890
PT Bell Stand,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,885
PT Banquet Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,882
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,873
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,870
Tutor,Instruction,Instruction,863
Work Study Library,Library Services,Library Services,860
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,858
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,856
Seasonal Bookstore Associate,Bookstore,Bookstore,846
Temp - Academic Affairs Division,Academic Affairs,Academic Affairs,845
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,841
Temp Bus Driver,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,840
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,840
Adjunct - Surgical Technician,Allied Health,Allied Health,837
Work Study Agri Science,Agricultural Science,Agricultural Science,833
Temp - Athletics,Athletics,Athletics,830
Sales Associate-Iowa City,Bookstore,Bookstore,827
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,825
Tutor,Instruction,Instruction,822
Instructor,Secondary Programs,Secondary Programs,822
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,821
Adjunct - Automotive Technology,Industrial Technologies,Industrial Technologies,814
Public Safety Officer,Facilities & Security,Facilities & Security,813
Temp - Athletics,Athletics,Athletics,810
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,808
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,800
Adjunct - Dental Hygiene,Allied Health,Allied Health,792
Work Study - Athletics,Athletics,Athletics,792
Tutor,Instruction,Instruction,790
Instructor,Secondary Programs,Secondary Programs,788
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,788
ICCAC Staff,ICCAC,ICCAC,772
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,769
Temp - Athletics,Athletics,Athletics,765
Office Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,758
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,756
Work Study - Athletics,Athletics,Athletics,753
Tutor,Instruction,Instruction,753
Work Study - Information Technologies,IT Services,IT Services,752
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,750
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,750
Temp - Athletics,Athletics,Athletics,750
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,746
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,738
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,735
Work Study Agri Science,Agricultural Science,Agricultural Science,726
Recreation Associate,Athletics,Athletics,725
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,725
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,720
Recreation Associate,Dean of Students Office,Dean of Students Office,717
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,715
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,705
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,700
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,700
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,700
Temp - Continuing Education,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,698
PT Bell Stand,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,696
IEC Associate,Finance,Finance,696
Esl Instructor,Secondary Programs,Secondary Programs,679
Line Cook,The Hotel at Kirkwood Center,The Hotel at Kirkwood Center,678
ICCAC Staff,ICCAC,ICCAC,677
Communique Staff,Social Sciences,Social Sciences,669
Ag Associate - Turf,Agricultural Science,Agricultural Science,661
Temp - Athletics,Athletics,Athletics,660
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,656
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,653
Work Study-Iowa City Campus,Iowa City Campus,Iowa City Campus,645
Work Study - Athletics,Athletics,Athletics,642
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,642
Intern,Facilities & Security,Facilities & Security,642
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,640
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,640
Work Study Agri Science,Agricultural Science,Agricultural Science,637
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,637
Tutor,Instruction,Instruction,633
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,630
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,630
PT Bartender,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,629
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,625
Recreation Associate,Athletics,Athletics,622
Work Study-Iowa City Campus,Iowa City Campus,Iowa City Campus,621
KCCK Intern,KCCK-FM Radio Station,KCCK-FM Radio Station,611
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,610
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,610
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,596
Work Study Library,Library Services,Library Services,595
Tutor,Instruction,Instruction,595
Tutor,Instruction,Instruction,594
Work Study - Offc Childcare,Financial Aid,Financial Aid,581
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,578
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,570
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,568
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,563
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,563
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,562
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,555
Grounds Worker,Facilities & Security,Facilities & Security,550
Tutor,Instruction,Instruction,548
Tutor - Walk-In,Learning Services,Learning Services,546
Continuing Ed Instructor,Continuing Education and Training,Continuing Education and Training,545
Work Study Agri Science,Agricultural Science,Agricultural Science,543
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,541
Temp - Athletics,Athletics,Athletics,540
Temp - Athletics,Athletics,Athletics,540
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,536
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,530
Work Study Agri Science,Agricultural Science,Agricultural Science,527
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,525
Adjunct - Dental Assisting,Allied Health,Allied Health,525
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,523
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,518
Seasonal Bookstore Associate,Bookstore,Bookstore,515
Temp - Athletics,Athletics,Athletics,510
ICCAC Staff,ICCAC,ICCAC,507
Seasonal Bookstore Associate,Bookstore,Bookstore,502
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,500
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,500
Orientation Peer Leader,Student Services,Student Services,497
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,490
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,488
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,486
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,484
Custodian,Facilities & Security,Facilities & Security,480
Recreation Associate,Athletics,Athletics,480
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,480
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,471
Tutor,Instruction,Instruction,468
Temp Secondary Programs,Secondary Programs,Secondary Programs,467
TCA Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,466
Tutor,Instruction,Instruction,466
Orientation Peer Leader,Student Services,Student Services,464
Work Study Arts & Humanities,Arts/Humanities,Arts/Humanities,464
PT Guest Service Representataive,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,460
Temp - Athletics,Athletics,Athletics,460
Work Study - Athletics,Athletics,Athletics,458
Work Study - Athletics,Athletics,Athletics,457
Work Study-Recreation Center,Recreation Center,Recreation Center,456
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,450
WA-Arts/Science Onsite Bus/Ed/Criminal,Washington Center,Washington Center,450
Guest Room Attendant,The Hotel at Kirkwood Center,The Hotel at Kirkwood Center,440
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,438
Sales Associate-Main Campus,Bookstore,Bookstore,433
Office Assistant,KCCK-FM Radio Station,KCCK-FM Radio Station,430
Work Study Busn & Info Tech,Business and Information Tech,Business and Information Tech,430
Adjunct - Surgical Technician,Allied Health,Allied Health,427
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,424
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,423
Orientation Peer Leader,Dean of Students Office,Dean of Students Office,422
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,420
Temp Secondary Programs,Secondary Programs,Secondary Programs,420
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,420
Tutor,Instruction,Instruction,419
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,412
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,410
LN -Arts/Science Onsite Bus/Ed/Criminal,Linn County Regional Center,Linn County Regional Center,407
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,406
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,406
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,405
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,405
Sales Associate-Main Campus,Bookstore,Bookstore,394
Night Worker,Athletics,Athletics,392
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,390
Tutor,Instruction,Instruction,387
Work Study Agri Science,Agricultural Science,Agricultural Science,382
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,380
PT Bell Stand,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,376
